Grupo,Asignatura,Profesor,Lun,Mar,Mie,Jue,Vie
3BM11,TEORIA DEL CONTROL,ROJAS PACHECO ADOLFO,10:00-11:30,11:30-13:00, ,11:30-13:00, 
3BM12,BIOINSTRUMENTACION,HORTA OLIVARES RICARDO,08:30-10:00, ,08:30-10:00,08:30-10:00, 
3BM12,CONTROL NEURODIFUSO,GONZALEZ NAVARRO YESENIA ELEON, ,08:30-10:00, ,10:00-11:30,08:30-10:00
3BM13,PROCESAMIENTO DE SEÑALES BIOLOGICAS,CORTEZ VEGA RICARDO ALAN, ,07:00-08:30,07:00-08:30,07:00-08:30, 
3BM14,INSTRUMENTACION CLINICA Y LABORATORIO,RAMIREZ MORALES ADRIAN OCTAVIO, ,07:00-08:30, ,07:00-08:30,07:00-08:30
3BM15,INTELIGENCIA ARTIFICIAL,ANZUETO RIOS ALVARO,08:30-10:00,08:30-10:00, ,08:30-10:00, 
,,,,,,,
3BV1,ANALISIS NUMERICO,MENDOZA ITURRALDE PABLO,19:00-20:30,19:00-20:30,19:00-20:30,17:30-19:00, 
3BV1,DISPOSITIVOS ELECTRONICOS,CANUL GOMEZ GIMCIAN DAVID, ,16:00-17:30, ,16:00-17:30,16:00-17:30
3BV2,INGLES III,FLORES MENDEZ RICARDO,19:00-20:30, ,19:00-20:30, , 
3BV4,BIOMAGNETISMO,RAMIREZ MORALES ADRIAN OCTAVIO,14:30-16:00, ,14:30-16:00, ,14:30-16:00
3BV4,ELECTRONICA ANALOGICA Y DE POTENCIA,BALLARDO RODRIGUEZ ISIS CHETZYL,17:30-19:00, , ,17:30-19:00,17:30-19:00
3BV5,ELECTRONICA DIGITAL,CRUZ RIVERA ABRAHAM,13:00-14:30,17:30-19:00,19:00-20:30, , 
3BV6,MECANISMOS BIOMIMETICOS,SILVA LOMELI JOSE DE JESUS, ,16:00-17:30, ,16:00-17:30,16:00-17:30
3BV7,SENSORES Y ACTUADORES,LUNA MUÑOZ MARTHA, ,13:00-14:30,13:00-14:30,13:00-14:30, 
3BV8,BIOMATERIALES,VALAGUEZ VELAZQUEZ ENRIQUE,17:30-19:00,17:30-19:00, , ,17:30-19:00
3BV9,PROCESAMIENTO DE IMAGENES,MORALES BLAS ADRIAN,16:00-17:30, ,16:00-17:30,16:00-17:30, 
3BV10,TEORIA DEL CONTROL,ROJAS PACHECO ADOLFO,14:30-16:00,14:30-16:00,14:30-16:00, , 
3BV11,BIOINSTRUMENTACION,MORALES BLAS ADRIAN, ,17:30-19:00,17:30-19:00,14:30-16:00, 
3BV11,CONTROL NEURODIFUSO,MARTINEZ MARTINEZ RAFAEL,14:30-16:00,14:30-16:00, , ,14:30-16:00
3BV12,PROCESAMIENTO DE SEÑALES BIOLOGICAS,RIOS RAMIREZ CARLOS,16:00-17:30, , ,17:30-19:00,16:00-17:30
3BV13,PROTESIS BIOMIMETICAS,VALENTINO OROZCO GERARDO ALEJANDRO,14:30-16:00, ,14:30-16:00, ,14:30-16:00
3BV14,ROBOTICA EVOLUTIVA Y AUTONOMA,RIOS RAMIREZ CARLOS,17:30-19:00, ,17:30-19:00, ,17:30-19:00
3BV15,SIMULACION DE ANALISIS DE ESFUERZOS,SILVA LOMELI JOSE DE JESUS,14:30-16:00, ,14:30-16:00, ,14:30-16:00
3BV16,COMUNICACION ORAL Y ESCRITA,RUIZ MALDONADO CARLOS ALBERTO,16:00-17:30,16:00-17:30, ,16:00-17:30, 
,,,,,,,
4BM1,ANALISIS DE ESFUERZOS,BRITO MARTINEZ EMILIO NICEFORO,13:00-14:30,13:00-14:30,13:00-14:30, , 
4BM2,DISPOSITIVOS PROGRAMABLES,VAZQUEZ CIANCA CESAR, , ,08:30-10:00,10:00-11:30,07:00-08:30
4BM3,MANUFACTURA DE ELEMENTOS BIOMIMETICOS,DEL VILLAR SANTOS CARLOS RAUL,07:00-08:30, ,11:30-13:00, ,11:30-13:00
4BM4,MODELADO Y CONTROL DE SISTEMAS BIONICOS,RIOS RAMIREZ CARLOS,11:30-13:00,11:30-13:00, ,11:30-13:00, 
4BM5,RECONOCIMIENTO DE PATRONES,ANZUETO RIOS ALVARO,10:00-11:30, ,10:00-11:30, ,10:00-11:30
4BM6,NORMATIVIDAD Y GESTION TECNOLOGICA,VELEZ MARTINEZ GABRIELA, ,10:00-11:30, , ,10:00-11:30
4BM7,IMAGENOLOGIA,ANZUETO RIOS ALVARO,07:00-08:30, ,07:00-08:30, ,07:00-08:30
4BM8,INSTRUMENTACION BIOTECNOLOGICA,RAMIREZ MORALES ADRIAN OCTAVIO,10:00-11:30,11:30-13:00, ,11:30-13:00, 
4BM9,SISTEMAS BIOMECANICOS,SANTIAGO GODOY RAFAEL,08:30-10:00, ,08:30-10:00, ,08:30-10:00
,,,,,,,
4BV1,ANALISIS DE ESFUERZOS,GUTIERREZ ESPINOZA MARIBEL, ,16:00-17:30,19:00-20:30,19:00-20:30, 
4BV2,DISPOSITIVOS PROGRAMABLES,TREJO SALAZAR DAVID BENJAMIN,13:00-14:30, , ,13:00-14:30,14:30-16:00
4BV3,MANUFACTURA DE ELEMENTOS BIOMIMETICOS,RODRIGUEZ GOMEZ JESUS LEOPOLDO,19:00-20:30, , , ,17:30-20:30
4BV4,RECONOCIMIENTO DE PATRONES,MORALES BLAS ADRIAN, ,16:00-17:30,14:30-16:00,19:00-20:30, 
4BV5,NORMATIVIDAD Y GESTION TECNOLOGICA,VELEZ MARTINEZ GABRIELA, ,16:00-17:30, ,16:00-17:30, 
4BV6,BIOSENSORES Y BIOCHIPS,VALAGUEZ VELAZQUEZ ENRIQUE, ,16:00-17:30,13:00-14:30,16:00-17:30, 
,,,,,,,
5BM1,BIOELECTRONICA,HORTA OLIVARES RICARDO,10:00-11:30, ,10:00-11:30,10:00-11:30, 
5BM2,BIOMECANICA,SANTIAGO GODOY RAFAEL,07:00-08:30, ,07:00-08:30,07:00-08:30, 
5BM3,METODOLOGIA DE LA INVESTIGACION,MARTINEZ PEREZ LILIA, ,07:00-08:30, , ,07:00-08:30
5BM4,BIOROBOTICA,RIOS RAMIREZ CARLOS,10:00-11:30, ,10:00-11:30, ,10:00-11:30
5BM5,TRABAJO TERMINAL I,MARTINEZ PEREZ LILIA,11:30-13:00,11:30-13:00,11:30-13:00,11:30-13:00,11:30-13:00
5BM6,TRABAJO TERMINAL II,VALAGUEZ VELASQUEZ CUAUHTEMOC,10:00-11:30,10:00-11:30,10:00-11:30,10:00-11:30,10:00-11:30
,,,,,,,
5BV1,BIOELECTRONICA,HORTA OLIVARES RICARDO,13:00-14:30,13:00-14:30, ,13:00-14:30, 
5BV2,BIOMECANICA,SANTIAGO GODOY RAFAEL, ,14:30-16:00,13:00-14:30, ,13:00-14:30
5BV3,METODOLOGIA DE LA INVESTIGACION,VALENTINO OROZCO GERARDO ALEJANDRO,16:00-17:30, ,16:00-17:30, , 
5BV4,BIOROBOTICA,CORTEZ VEGA RICARDO ALAN,16:00-17:30,16:00-17:30,16:00-17:30, , 
5BV5,TRABAJO TERMINAL I,VALAGUEZ VELASQUEZ CUAUHTEMOC,14:30-16:00,14:30-16:00,14:30-16:00,14:30-16:00,14:30-16:00
5BV6,TRABAJO TERMINAL II,VALAGUEZ VELAZQUEZ ENRIQUE,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30
